,review_count,business_id,categories,Unnamed: 0,super_rating,name,latitude,longitude,address,postal_code,positive_aspect,negative_aspect
3678,7,5EGhvgDt_E-JPl4EhQkOtg,"Coffee & Tea, Food, Restaurants, Internet Cafes, Breakfast & Brunch",259,4.967871428571429,Edgehill Cafe,36.024589,-86.71193,"6900 Lenox Village Blvd, Ste 15",37211.0,"['coffee', 'spot', 'atmosphere', 'seating', 'bagel']","['atmosphere', 'seating', 'bagel', 'butter', 'service']"
3685,36,c6xOzTbNqD-1g9PoxAh4DQ,"Tapas Bars, Music Venues, Restaurants, Arts & Entertainment, Wine Bars, Bars, Nightlife",1576,3.67692972972973,The Wine Loft,36.1520443,-86.7846698,503 12th Ave S,37203.0,"['atmosphere', 'wine', 'food', 'hour', 'service']","['water', 'glass of malbec', 'price', 'employees', 'bill']"
3722,472,I2CxrvM0BGH1svfxqGGD2g,"Automotive, Restaurants, Sandwiches, Bars, Nightlife, Pubs, American (Traditional), Burgers, Beer Bar, Sports Bars, Breakfast & Brunch",777,4.377622064777328,M.L.Rose Craft Beer & Burgers - Melrose,36.1226231735,-86.7761365195,"2535 8th Ave S, Ste 107",37204.0,"['food', 'burgers', 'beer', 'burger', 'atmosphere']","['mimosa', 'cheeseburgers', 'customer service', 'wait', 'parking']"
4216,6,g7GCbnZC_HKO0ybNt7NXBw,"Chicken Wings, Fast Food, Restaurants",1741,0.7530666666666667,Popeyes Louisiana Kitchen,36.202427,-86.692898,443 Opry Mills Dr,37214.0,"['food', 'counter', 'line', 'manager', 'chicken sandwiches']","['management', 'chicken', 'stuff', 'women', 'register']"
4222,29,ByTZJsTDDhvOYKCj7uoy4w,"Nightlife, Arts & Entertainment, Wine Bars, Food, Beer, Wine & Spirits, Bars, American (New), Shopping, Restaurants, Art Galleries",524,4.02537,Rumours Wine and Art Bar,36.1271133,-86.7889412,2304 12th Ave S,37204.0,"['place', 'wine bar', 'location', 'front patio', 'staff']","['service', 'wine list', 'bartender', 'parking', 'portions']"
4252,126,RJPRi1pwocHNZr9ISz_P-A,"Music Venues, American (New), Restaurants, Nightlife, Arts & Entertainment",1111,2.5116651162790697,National Underground,36.1617952,-86.7744663,105 Broadway,37201.0,"['staff', 'burger', 'food', 'vibe', 'server']","['hot "" chicken', 'food selection', 'yelp', 'manager', 'waiter']"
4381,38,E3xBC7Bb6KRlZeqcY3bWtA,"Burgers, Restaurants",612,2.6714473684210525,Build-a-Burger,36.1084621,-86.8164366,3811 Green Hills Village Dr,37215.0,"['burger', 'food', 'toppings', 'fries', 'salmon burger']","['staff', 'lunch', 'ketchup', 'surface', 'cashier']"
4419,5,4Rz9e2RmP7ErILpcls-n2w,"American (New), Restaurants",213,4.1736,Belle Restaurant,36.1049162,-86.8646954,5025 Harding Pike,37205.0,"['dressing', 'swiss cheese']","['dressing', 'swiss cheese']"
4425,44,RzGr37s8p2ujVuN9of7ksQ,"Bakeries, Food, Latin American, Desserts, Restaurants",1142,5.052620454545455,Panaderia La Conchita,36.0744978515,-86.7254739712,4239 Nolensville Pike,37211.0,"['place', 'prices', 'pastries', 'treats', 'tres leches cake']","['coffee', 'coconut bread', 'piñatas', 'bolio', 'establishment']"
4469,15,8SqvtaRu9likNDAfAU-HBQ,"Fast Food, Restaurants, Chinese",385,3.420373333333333,Panda Express,36.2027284902,-86.6944885254,455 Opry Mills Dr,37214.0,"['food', 'staff', 'sweet fire chicken', 'meat chicken', 'sauce']","['noodles', 'mall location', 'workers', 'of food', 'customer service']"
4484,9,7CBsFEzEny_Ro833RS6Acg,"Delis, Farmers Market, Restaurants, Food, American (Traditional)",334,3.9244,Farmer's Market Deli & Grill,36.169445,-86.78794,900 Rosa L Parks Blvd,37243.0,"['mixed berry bingsu', 'shaved ice', 'sauce', 'mango', 'place']","['veggies', 'folks', 'cup', 'drink', 'service']"
4493,9,diqXZ9CBFlIHW7i9UHefhw,"Restaurants, Burgers, Fast Food",1649,1.0568,Burger King,36.0842766668,-86.7042401,363 Harding Pl,37211.0,"['burger king', 'staff', 'owner', 'burger', 'fast food place']","['owner', 'burger', 'fast food place', 'service', 'cashier']"
4502,178,sway6xsRT_CUC6peK_Pyww,"Hotels, Restaurants, Cocktail Bars, Event Planning & Services, Lounges, Hotels & Travel, Bars, Nightlife",2199,4.237866483516483,Bobby Hotel,36.1647114553,-86.7793040316,230 4th Ave N,37219.0,"['staff', 'hotel', 'location', 'decor', 'rooms']","['room service', 'amenities', 'cleanliness', 'bed', 'bathrooms']"
4684,120,_49FsmTfruZSTjxU4OwOsg,"Greek, Restaurants, Mediterranean",1458,4.1601432,Taziki's Mediterranean Cafe - West End,36.1436547,-86.8135218,3001 W End Ave,37212.0,"['food', 'service', 'atmosphere', 'lunch', 'staff']","['proteins', 'meals', 'girl', 'wait', 'parking']"
4809,14,J7Oo9rhwX7O3ak54pu_Mhg,"Fish & Chips, Restaurants, Fast Food, Seafood, American (Traditional)",807,3.932957142857143,Captain D's,36.16937,-86.67255,2633 Lebanon Pike,37214.0,"['food', 'service', 'employees', 'location', 'people']","['cake', 'menu', 'lobster rolls', 'bar', 'hush puppies']"
4823,89,8s1uT8dyBEUwTNeHoZntMg,"Restaurants, Mexican",409,3.1117106382978728,El Rey,36.1629191,-86.7761598,139 2nd Ave N,37201.0,"['salsa', 'food', 'prices', 'staff', 'chips']","['chicken items', 'employees', 'air condition', 'place', 'service']"
4917,142,_cndcbuaqSRW5f-MeZasNw,"Steakhouses, Chinese, Japanese, Restaurants, Korean, Sushi Bars",1482,3.570376510067114,Toyama Japanese Steak House,36.040788,-86.7402801,15532 Old Hickory Blvd,37211.0,"['food', 'sushi', 'hibachi', 'sauces', 'place']","['wasabi', 'sushi rolls', 'manager', 'customer service', 'owner']"
5066,33,zxpJ4Frr8Zoru-YaNzOxzw,"Chinese, Restaurants",2499,4.15916,China Spring,36.0441354,-86.9579331,8165 Hwy 100,37221.0,"['food', 'staff', 'chinese', 'delivery', 'service']","['egg drop soup', 'beef', 'broccoli', 'soup', 'fried rice']"
5101,8,qZIiURCjON7QcTzNtG9JpQ,"Fast Food, Restaurants, Sandwiches",2111,1.8486,Subway,36.1316071,-86.8581153,99 White Bridge Rd,37205.0,"['chipotle steak', 'cheese with avocado', 'salads', 'cheese and', 'fast food']","['chipotle steak', 'cheese with avocado', 'salads', 'cheese and', 'fast food']"
5109,206,s3FRhtaNU8dt-mKkLKUQaQ,"Sushi Bars, Ramen, Food, Beer, Wine & Spirits, Restaurants, Burgers, Japanese, Seafood",2163,3.34102523364486,RuSan's Sushi and Seafood,36.1518970081,-86.7848066755,505 12th Ave S,37212.0,"['sushi', 'food', 'atmosphere', 'staff', 'place']","['napkins', 'waiters', 'mayo', 'table', 'servers']"
5323,74,KPmFv_Ou6ddauV_gYauWzg,"Mexican, Restaurants",863,4.971358666666666,Taquería La Juquilita,36.1621286521,-86.8611215519,5913 Morrow Rd,37209.0,"['food', 'place', 'mexican food', 'tacos', 'prices']","['pricing', 'meat', 'sauce', 'seats', 'tables']"
5398,57,ZJC0ONdxmIlwidXd8E0fXg,"Sports Bars, Nightlife, Sandwiches, Breakfast & Brunch, Pizza, Restaurants, Bars",1426,4.35778,BoomBozz Craft Pizza & Taphouse,36.047064,-86.951448,8016 Hwy 100,37221.0,"['pizza', 'service', 'staff', 'food', 'toppings']","['draft beer', 'ambience', 'loaded potatoes nachos', 'dish', 'manager']"
5458,7,k7oZJB7BSx37e-masOmiLQ,"Food, Ice Cream & Frozen Yogurt, Restaurants, Desserts",1896,4.953328571428571,Hattie Jane's Creamery,36.1601939,-86.779742,5055 Broadway Place,37203.0,"['honey comb', 'ice cream', 'flavor', 'corn', 'blackberry jam']","['vibe', 'ice cream flavors', 'caramel', 'pecan', 'scoop']"
5465,390,wnjFEC-w0qWnyDnO8k1RpA,"Coffee & Tea, New Mexican Cuisine, Restaurants, Tacos, Acai Bowls, Food, Nightlife, Mexican, Bars, Juice Bars & Smoothies",2384,5.287658333333333,Nectar Urban Cantina,36.16813138,-86.6804685,206 McGavock Pike,37214.0,"['food', 'atmosphere', 'tacos', 'service', 'staff']","['churros', 'sugar', 'salsa options', 'hot sauce', 'chorizo burrito bowl']"
5873,164,iDGohK_mkqnAfLeWC4P4TQ,"Restaurants, Mexican, Delis, Breakfast & Brunch, Food, Grocery, Sandwiches, Tacos",1817,5.001909523809523,51st Deli,36.1619072,-86.84887,1314 51st Ave N,37209.0,"['food', 'place', 'sandwiches', 'service', 'staff']","['chipotle mayo', 'brunch', 'breakfast food', 'west nasty chicken sandwich', 'cashier']"
6041,15,PfKuhGC46pQjnKgQnts-mA,"Arts & Entertainment, Music Venues, Nightlife, Restaurants, American (New), Food, Bars",1045,5.06614,The Night Owl,36.082922,-86.7228315,330 Welch Rd,37211.0,"['music', 'food', 'burgers', 'staff', 'live music']","['fries', 'sauce', 'tap', 'pool', 'securtity guard']"
6056,27,DZdE09qqCcX7Atf3Df7Yqg,"Breakfast & Brunch, Food, Salad, Juice Bars & Smoothies, Acai Bowls, Restaurants, Coffee & Tea",591,4.094788888888889,The Urban Juicer,36.1521963,-86.8351768,4021 Charlotte Ave,37209.0,"['service', 'food', 'smoothies', 'juice', 'smoothie']","['fruit', 'place', 'staffed', 'premium', 'employee']"
6083,6,Uuzewy2CLg_XCekRhA0PIg,"Restaurants, Pizza, Bars, Nightlife, Comedy Clubs",1251,4.982671428571429,The Comedy Bar,36.1624045,-86.774979,"100 Broadway, Fl 2",37201.0,"['place', 'pizza', 'stage', 'bar', 'location']","['location', 'comedy', 'room', 'food', 'waitstaff']"
6090,8,0fYRCLVFWte0uo-1W7gJGQ,"Restaurants, Sushi Bars",57,5.707425,Hōru Sushi Kitchen,36.1607338108,-86.7797130577,5055 Broadway Pl,37203.0,"['sushi', 'dining area', 'kitchen', 'atmosphere', 'food']","['order', 'staff', 'tuna tower', 'sushi counter', 'seatings']"
6098,18,ZLW8u1n776S7maN4KhN6jg,"Cafes, Restaurants",1427,4.5197666666666665,Riffs Cafe at Highland Ridge,36.1482979,-86.689828,"555 Marriott Dr, Ste 105",37214.0,"['place', 'atmosphere', 'food', 'service', 'bob marley wrap']","['table', 'breakfast', 'meal', 'chips', 'fries']"
6116,249,eaJCpC6IhYphj7bwCDHTwQ,"Bagels, Sporting Goods, Outdoor Gear, Coffee & Tea, Cafes, Sandwiches, Food, Shopping, Internet Cafes, Restaurants",1680,5.315820553359683,Three Brothers Coffee,36.1448084,-86.8122664,2813 W End Ave,37203.0,"['coffee', 'staff', 'service', 'atmosphere', 'place']","['coffee temperature', 'iced dirty chai', 'iced vanilla latte', 'bakery selection', 'cooking']"
6369,134,K7rsFcHcO_LYrgWvTAik2w,"Delis, Comfort Food, Restaurants, Breakfast & Brunch, Sandwiches, Food, Bagels",853,4.246795588235294,Shep's Delicatessen,36.1780018,-86.7508693,1000 Main St,37206.0,"['food', 'service', 'atmosphere', 'breakfast', 'server']","['wait', 'mac & cheese pancakes', 'lettuce', 'employees', 'matzo balls']"
6505,69,5pCDh3Tq3WzQau79hfJbsA,"Restaurants, Chicken Wings, Food Delivery Services, Pizza, Italian, Sandwiches, Greek, Food",276,4.159861111111111,Brooklyn Pizza & Cafe,36.1193788,-86.748865,2428 Nolensville Pike,37211.0,"['pizza', 'food', 'delivery', 'pizzas', 'staff']","['delivery drivers', 'bread', 'sandwiches', 'place', 'waiting']"
6577,45,tUDZnYQe7aD2VU3Syia_RQ,"Bars, Dive Bars, Salad, Restaurants, Diners, Wraps, Nightlife, Sports Bars, American (Traditional)",2224,4.391646808510639,The Nations Bar & Grill,36.1556569,-86.849056,705 51st Ave N,37209.0,"['food', 'atmosphere', 'vibe', 'salad', 'price']","['french fries', 'server', 'bar', 'services', 'bar staff']"
6624,7,NvJg4ysrB7J0hrsb2A0gUg,"Burgers, Restaurants, Fast Food",993,3.4922714285714287,Jack In the Box,36.1822890122,-86.6399734326,3133 Lebanon Pike,37214.0,"['fries', 'employees', 'food', 'fast food', 'drive - thru']","['food', 'fast food', 'drive - thru', 'lady', 'service']"
6631,5,1JxSgUivApwcRYFnXw23cQ,"Cafes, Restaurants, American (New)",88,3.5029200000000005,Natura Cafe Nashville,36.1642022,-86.7789669,210 4th Ave N,37219.0,"['spot', 'coffee', 'beverages', 'female staff']","['spot', 'coffee', 'beverages', 'female staff']"
6636,80,K51bVqlGcpTMDK3-SDkBeQ,"Coffee & Tea, Breakfast & Brunch, Food, Salad, Bagels, Sandwiches, Bakeries, Restaurants, Soup",849,2.644186585365853,Panera Bread,36.1457641,-86.6682195,620 Royal Pkwy,37214.0,"['staff', 'tea', 'location', 'salad', 'bread']","['teas', 'deserts', 'services', 'apple', 'customer service']"
6718,10,BVF9gWOAItS-781FlzGA_w,"Argentine, Restaurants",503,5.72358,Tango Grill Nashville,36.0829465,-86.7023219,"4930 Linbar Dr, Ste 102",37211.0,"['staff', 'food', 'meat', 'menu', 'uruguayan']","['mix', 'steak sandwich', 'lunch', 'service', 'wine']"
6728,6,CBfW6HPqKP-46zadC1ktVw,"Southern, Grocery, Restaurants, Food",538,3.5181,Osborne Bi-Rite,36.1014833,-86.739948,3302 Nolensville Pike,37211.0,"['meat', 'staff', 'prices', 'quality', 'products']","['meat', 'staff', 'prices', 'quality', 'products']"
6736,41,lsGZzXIJbjrWtcFGLAW5sw,"American (New), Beer, Wine & Spirits, Food, Sandwiches, Restaurants",1944,4.817032558139535,AM@FM,36.169304,-86.788028,900 Rosa L Parks Blvd,37243.0,"['service', 'brownie', 'sandwiches', 'vegetables', 'fruits']","['glass of wine', 'staff', 'brunch', 'meal', 'big guy running']"
6779,102,9XkgYvXhYibe85V6mNE_TQ,"American (Traditional), Sports Bars, Nightlife, Restaurants, Bars, Music Venues, Arts & Entertainment",440,3.183655238095238,Winners Bar and Grill Nashville,36.1495917,-86.7968607,1913 Division St,37203.0,"['food', 'place', 'band', 'time', 'bar']","['servers', 'owner', 'environment', 'female bartenders', 'bouncers']"
6884,8,wuv3jE5Lc23TcfC70qu-Mg,"Restaurants, Pizza, Sandwiches, Fast Food",2393,1.6712625,Subway,36.1512071078,-86.6256467248,3686 Bell Rd,37214.0,['indian owner'],['indian owner']
6892,326,6kAXOzE7fqaBZINQV_-_mg,"Vietnamese, Restaurants",314,4.369204322766571,Kien Giang,36.148333,-86.862353,5845 Charlotte Pike,37209.0,"['pho', 'food', 'prices', 'place', 'spring rolls']","['attitude', 'lady', 'servers', 'waitress', 'cash']"
7239,288,g4KzJc8y7BhW66ieNIwJEA,"Italian, Restaurants, Caterers, Event Planning & Services",1738,3.6972756578947368,The Old Spaghetti Factory,36.1639095897,-86.7758031111,160 Second Ave N,37201.0,"['food', 'atmosphere', 'service', 'waiter', 'meal']","['alfredo sauce', 'togo boxes', 'table', 'sauce', 'employees']"
7543,28,fRdJbbQk05UctAAX8v4uFA,"Burgers, Pizza, Restaurants",1712,1.8047206896551724,Marco Polo's Pizza,36.1875154,-86.8213698,2721 Clarksville Pike,37228.0,"['philly steak', 'chicken philly sandwiches', 'restaurant', 'pesto chicken pizza', 'brurgers']","['butter', 'floors', 'people', 'place', 'food']"
7572,12,sdUQjlWN9y6yowVcvqomnw,"Restaurants, Cafes, Italian",2182,3.3243416666666668,La Spezia Italian Cafe,36.0464907,-86.7133917,5737 Nolensville Pike,37211.0,"['food', 'spaghetti', 'chicken alfredo', 'delivery', 'meatballs']","['crab meat', 'oregano', 'bread sticks', 'philly cheese steak meat', 'cheesecake']"
7584,296,vOgQnvKbE4nMopFTjoL8Gg,"Lounges, Southern, American (New), American (Traditional), Restaurants, French, Nightlife, Bars",2306,4.891570764119602,Watermark Restaurant,36.1522693592,-86.7850399017,507 12th Ave S,37203.0,"['food', 'service', 'atmosphere', 'dinner', 'patio']","['entrance', 'entree', 'dessert', 'valet', 'price']"
7885,6,GvRA736fSqNZPe_OJRCt-w,"Food, Restaurants, Coffee & Tea, Delis",734,4.63205,Pranzo Jersey Italian Cafe,36.1524547,-86.7923114,"1600 Division St, Ste 120",37203.0,"['staff', 'café', 'salads', 'sandwiches', 'cheese']","['italian lunch', 'breakfast menu', 'lasagna', 'menu', 'chain']"
7891,8,5jXiZ23pb-xf457uNM2yZg,"Thai, Sushi Bars, Restaurants",273,5.93165,LJ Thai Sushi,36.1413036,-86.8822837,"3736 Annex Ave, Ste 101",37209.0,"['presentation', 'chef', 'sushi', 'service', 'rolls']","['fried dumplings', 'egg rolls', 'sushi chef', 'portions', 'thai cuisine']"
7899,52,VMJvz4jqc06fvlfvloDVZg,"Vegan, Sandwiches, Juice Bars & Smoothies, Restaurants, Specialty Food, Food, Fruits & Veggies",1270,5.591543396226416,Lynne Lorraine's,36.1742465,-86.7501145,"1100 Fatherland St, Ste 102",37206.0,"['staff', 'food', 'place', 'ingredients', 'smoothies']","['dining atmosphere', 'cup', 'prices', 'sandwich', 'music']"
7952,160,B03ajYBGDkZrIDB9lRTwUg,"Bars, Italian, Nightlife, Restaurants, Lounges, Southern",489,4.715887116564417,Valentino's Ristorante,36.153864,-86.7976111,1808 Hayes St,37203.0,"['food', 'service', 'atmosphere', 'place', 'staff']","['sauce', 'waitresses', 'eggs', 'dairy', 'price']"
8115,37,G6EkKOLWiOw_8G7olgvalg,"Pasta Shops, Italian, Restaurants, Specialty Food, Food",699,4.979237837837838,Nicoletto’s Italian Kitchen,36.1368318853,-86.8029680469,2123 Belcourt Ave,37212.0,"['pasta', 'staff', 'food', 'service', 'pink sauce']","['brownie', 'macaroni', 'cheese with chilies', 'portion size', 'vegan meatball']"
8152,8,Y4ekZBFgSauDaVOqI52vPQ,"Restaurants, Mexican",1378,4.3401625,Blue Coast Burrito Express,36.1489461,-86.8061621,2323 Elliston Pl,37203.0,"['food', 'fish tacos', 'catering', 'location', 'menu']","['quesadilla', 'salsa', 'chipotle', 'employees', 'service']"
8160,9,0_fd3nMhIVlJyLV76dTCAQ,"Restaurants, Fast Food, Burgers",52,2.348977777777778,Krystal,36.0152661,-86.7034410685,1201 Murfreesboro Rd,37217.0,"['location', 'team', 'food', 'service', 'staff']","['team', 'food', 'service', 'staff', 'burgers']"
8169,28,tW-hptQp2G8ShB_In68InQ,"Chinese, Restaurants",2226,3.646413793103448,China Spring,36.1204513203,-86.7774219494,"2613 Franklin Pike, Ste 103",37204.0,"['lunch buffet', 'food', 'place', 'chinese food', 'price']","['veggies', 'woman', 'pepper chicken w onion', 'orange chicken', 'young girl']"
8198,107,FYIL5duVgc9eLyYw6hobmw,"Arts & Entertainment, Restaurants, Cocktail Bars, American (New), Nightlife, Jazz & Blues, Steakhouses, American (Traditional), Bars",674,4.602515454545455,Ellington's,36.1648001,-86.7799287,401 Union St,37219.0,"['service', 'food', 'atmosphere', 'drinks', 'bar']","['chicken', 'potatoes', 'wait staff', 'menu', 'kitchen']"
8308,8,AeAXSy-FI2rJM451lmoJGw,"Desserts, Food Stands, Ice Cream & Frozen Yogurt, Food, Restaurants",477,5.9453125,Izzie's Ice,36.176771,-86.745726,1400 Woodland St,37206.0,"['honeydew melon', 'lemon', 'mango', 'flavors', 'lemonade']","['lemon', 'mango', 'flavors', 'lemonade', 'iced tea']"
8316,6,JhWdq1s_kN-5N98rl-fc6A,"Restaurants, Southern",830,3.2551,Sylvan Park Restaurant,36.0436104,-86.7123352,5814 Nolensville Pike,37013.0,"['food', 'staff', 'desserts', 'sports bar', 'meat']","['prices', 'drink', 'menu', 'fried chicken', 'sides of mashed potato and cream corn']"
8322,195,1PYqegX1SruVbkCsRF-4lA,"Southern, American (Traditional), Restaurants",90,4.112711224489796,Opry Backstage Grill,36.2177772,-86.6949403,2401 Music Valley Dr,37214.0,"['food', 'service', 'atmosphere', 'place', 'meal']","['cup of coffee', 'wine', 'shelf drinks', 'mac and cheese', 'sauce']"
8518,120,EBn3U4mpnIRLIy2lKuilRQ,"Restaurants, Nightlife, American (New), Barbeque, Steakhouses, Bars, American (Traditional), Burgers",618,2.1837024193548387,Logan's Roadhouse,36.1119137436,-86.766502,727 Thompson Ln,37204.0,"['food', 'chicken', 'atmosphere', 'meal', 'asparagus']","['dining', 'servers', 'waitress', 'staff', 'service']"
8642,367,1Pxg1AMf0rEn9QF__ZYoWw,"Japanese, Restaurants, Sushi Bars",91,4.807731182795699,Samurai Sushi,36.1510902665,-86.8037759995,2209 Elliston Pl,37203.0,"['sushi', 'food', 'service', 'prices', 'rolls']","['fried shrimp roll', 'eel sauce', 'lauren', 'parking', 'rice']"
9014,29,BrYoQyygyIb-FsVJ0AMpLg,"Local Flavor, Food, Caterers, Restaurants, Event Planning & Services, Gluten-Free, Bakeries",516,5.355720000000001,A Matter of Taste,36.1266822,-86.7775881,2401 B Franklin Rd,37204.0,"['food', 'lunch', 'bread', 'place', 'priced']","['catering', 'service', 'brunch', 'apples', 'blondie']"
9044,33,Y1QKeVZSvhnAZnO26SK6QQ,"Cocktail Bars, American (New), Restaurants, Nightlife, Bars, Comfort Food, Cafes",1376,4.015208333333334,Nordstrom Grill,36.1065328983,-86.816454,2130 Abbott Martin Rd,37215.0,"['food', 'specials', 'staff', 'chef', 'chicken']","['dinner', 'sweet potato fries', 'waiting', 'strawberry almond salad', 'pasta']"
9080,45,lTqAGjcQHeY3eTXBTIcvkA,"Food, Restaurants, Breakfast & Brunch, Coffee & Tea, Wine Bars, Nightlife, Bars",1927,4.942857777777777,Frothy Monkey,36.1733768,-86.7396448,1701 Fatherland St,37206.0,"['food', 'staff', 'coffee', 'atmosphere', 'location']","['salmon', 'portions', 'waitress', 'omelette', 'latte']"
9125,27,u1ELaa77voUfj-2GCOIUmQ,"Restaurants, Italian, Pizza, Fast Food",2251,3.2707185185185184,Fazoli's,36.0807586,-86.722677,10 Harding Mall Drive,37211.0,"['food', 'place', 'breadsticks', 'service', 'pasta meal']","['cashier', 'store', 'a / c', 'customer service', 'bread sticks']"
9152,26,vF32KjPs8BgltSa484P1Yg,"Restaurants, Mediterranean",2299,4.746023076923077,Euro Grill,36.0904461,-86.6953542,1233 Antioch Pike,37211.0,"['food', 'owners', 'service', 'lunch', 'owner']","['menu', 'music', 'location', 'building', 'parking lot']"
9178,19,xDqifhzRrOOYMOgOtWvyWQ,"Breakfast & Brunch, Restaurants",2407,4.493410526315789,Waffle House,36.1359726711,-86.7244343659,Spence Ln,37201.0,"['staff', 'eggs', 'food', 'quality', 'breakfast']","['chocolate chip waffle', 'service', 'hash browns', 'gravy', 'dining area']"
9197,11,VaPj2Mpu0IpsUoisyTCAUg,"Food Trucks, Mexican, Restaurants, Tacos, Food",1280,4.342099999999999,That Awesome Taco Truck,36.1805194,-86.7265483,,37206.0,"['taco truck', 'tacos', 'crew', 'lobster roll', 'taco']","['price', 'food', 'prices', 'owners', 'ground beef']"
